Time, ADC Value, ADC Error
8.750000000000000000e+01,4.580000000000000000e+02,2.830000000000000000e+02
1.140625000000000000e+02,3.150000000000000000e+02,1.860000000000000000e+02
1.156250000000000000e+02,3.130000000000000000e+02,1.870000000000000000e+02
1.171875000000000000e+02,3.210000000000000000e+02,1.550000000000000000e+02
1.187500000000000000e+02,3.240000000000000000e+02,1.870000000000000000e+02
1.203125000000000000e+02,3.950000000000000000e+02,2.430000000000000000e+02
1.218750000000000000e+02,4.750000000000000000e+02,2.950000000000000000e+02
1.234375000000000000e+02,3.300000000000000000e+02,1.840000000000000000e+02
1.000000000000000000e+02,3.820000000000000000e+02,2.330000000000000000e+02
1.015625000000000000e+02,4.470000000000000000e+02,2.980000000000000000e+02
1.031250000000000000e+02,3.400000000000000000e+02,1.780000000000000000e+02
1.046875000000000000e+02,3.690000000000000000e+02,2.240000000000000000e+02
1.062500000000000000e+02,3.970000000000000000e+02,2.560000000000000000e+02
1.078125000000000000e+02,3.810000000000000000e+02,1.760000000000000000e+02
1.093750000000000000e+02,2.960000000000000000e+02,1.170000000000000000e+02
1.109375000000000000e+02,4.090000000000000000e+02,2.490000000000000000e+02
1.125000000000000000e+02,3.540000000000000000e+02,2.270000000000000000e+02
